,id,mmac,time,mac,rssi,range,tmc
0,1,14:6b:9c:f4:03:f1,Tue May  2 15:57:58 2023,3c:7d:0a:c0:68:ad,-74,21.5,42:1f:79:8d:85:51
1,2,14:6b:9c:f4:03:f1,Tue May  2 15:58:00 2023,3c:7d:0a:c0:68:ad,-74,21.5,42:1f:79:8d:85:51
2,3,14:6b:9c:f4:04:17,Tue May  2 15:58:02 2023,3c:7d:0a:c0:68:ad,-64,9.1,42:1f:79:8d:85:51
3,4,14:6b:9c:f4:04:39,Tue May  2 15:58:02 2023,3c:7d:0a:c0:68:ad,-51,3.0,42:1f:79:8d:85:51
4,5,14:6b:9c:f4:03:f1,Tue May  2 15:58:02 2023,3c:7d:0a:c0:68:ad,-79,33.0,42:1f:79:8d:85:51
5,6,14:6b:9c:f4:04:17,Tue May  2 15:58:04 2023,3c:7d:0a:c0:68:ad,-64,9.1,42:1f:79:8d:85:51
6,7,14:6b:9c:f4:03:f1,Tue May  2 15:58:04 2023,3c:7d:0a:c0:68:ad,-75,23.4,42:1f:79:8d:85:51
7,8,14:6b:9c:f4:04:39,Tue May  2 15:58:04 2023,3c:7d:0a:c0:68:ad,-51,3.0,42:1f:79:8d:85:51
8,9,14:6b:9c:f4:03:f1,Tue May  2 15:58:06 2023,3c:7d:0a:c0:68:ad,-72,18.1,42:1f:79:8d:85:51
9,10,14:6b:9c:f4:03:f1,Tue May  2 15:58:08 2023,3c:7d:0a:c0:68:ad,-73,19.7,42:1f:79:8d:85:51
10,11,14:6b:9c:f4:03:f1,Tue May  2 15:58:10 2023,3c:7d:0a:c0:68:ad,-73,19.7,42:1f:79:8d:85:51
11,12,14:6b:9c:f4:03:f1,Tue May  2 15:58:12 2023,3c:7d:0a:c0:68:ad,-68,12.9,42:1f:79:8d:85:51
12,13,14:6b:9c:f4:03:f1,Tue May  2 15:58:14 2023,3c:7d:0a:c0:68:ad,-68,12.9,42:1f:79:8d:85:51
13,14,14:6b:9c:f4:04:17,Tue May  2 15:58:16 2023,3c:7d:0a:c0:68:ad,-62,7.7,42:1f:79:8d:85:51
14,15,14:6b:9c:f4:04:39,Tue May  2 15:58:16 2023,3c:7d:0a:c0:68:ad,-49,2.5,42:1f:79:8d:85:51
15,16,14:6b:9c:f4:03:f1,Tue May  2 15:58:16 2023,3c:7d:0a:c0:68:ad,-74,21.5,42:1f:79:8d:85:51
16,17,14:6b:9c:f4:04:17,Tue May  2 15:58:18 2023,3c:7d:0a:c0:68:ad,-62,7.7,42:1f:79:8d:85:51
17,18,14:6b:9c:f4:04:39,Tue May  2 15:58:18 2023,3c:7d:0a:c0:68:ad,-49,2.5,42:1f:79:8d:85:51
18,19,14:6b:9c:f4:03:f1,Tue May  2 15:58:18 2023,3c:7d:0a:c0:68:ad,-74,21.5,42:1f:79:8d:85:51
19,20,14:6b:9c:f4:04:39,Tue May  2 15:58:20 2023,3c:7d:0a:c0:68:ad,-49,2.5,42:1f:79:8d:85:51
20,21,14:6b:9c:f4:04:39,Tue May  2 15:58:30 2023,3c:7d:0a:c0:68:ad,-55,4.2,42:1f:79:8d:85:51
21,22,14:6b:9c:f4:03:f1,Tue May  2 15:58:30 2023,3c:7d:0a:c0:68:ad,-75,23.4,42:1f:79:8d:85:51
22,23,14:6b:9c:f4:04:39,Tue May  2 15:58:32 2023,3c:7d:0a:c0:68:ad,-55,4.2,42:1f:79:8d:85:51
23,24,14:6b:9c:f4:03:f1,Tue May  2 15:58:32 2023,3c:7d:0a:c0:68:ad,-75,23.4,42:1f:79:8d:85:51
